6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
0.0,0.0,84005025.0,"Cleveland, Arkansas, US",0.0,0.0
0.0,0.0,84005027.0,"Columbia, Arkansas, US",2.0,2.0
0.0,0.0,84005029.0,"Conway, Arkansas, US",1.0,1.0
0.0,0.0,84005031.0,"Craighead, Arkansas, US",0.0,0.0
0.0,0.0,84005033.0,"Crawford, Arkansas, US",0.0,0.0
1.0,1.0,84005035.0,"Crittenden, Arkansas, US",9.0,9.0
0.0,0.0,84005037.0,"Cross, Arkansas, US",0.0,0.0
0.0,0.0,84005039.0,"Dallas, Arkansas, US",0.0,0.0
0.0,0.0,84005041.0,"Desha, Arkansas, US",0.0,0.0
0.0,0.0,84005043.0,"Drew, Arkansas, US",1.0,1.0
0.0,0.0,84005045.0,"Faulkner, Arkansas, US",3.0,3.0
0.0,0.0,84005047.0,"Franklin, Arkansas, US",0.0,0.0
0.0,0.0,84005049.0,"Fulton, Arkansas, US",0.0,0.0
0.0,0.0,84005051.0,"Garland, Arkansas, US",1.0,1.0
0.0,0.0,84005053.0,"Grant, Arkansas, US",0.0,0.0
0.0,0.0,84005055.0,"Greene, Arkansas, US",0.0,0.0
0.0,0.0,84005057.0,"Hempstead, Arkansas, US",1.0,1.0
0.0,0.0,84005059.0,"Hot Spring, Arkansas, US",0.0,0.0
0.0,0.0,84005061.0,"Howard, Arkansas, US",0.0,0.0
0.0,0.0,84005063.0,"Independence, Arkansas, US",0.0,0.0
0.0,0.0,84005065.0,"Izard, Arkansas, US",1.0,1.0
0.0,0.0,84005067.0,"Jackson, Arkansas, US",0.0,0.0
4.0,4.0,84005069.0,"Jefferson, Arkansas, US",25.0,25.0
0.0,0.0,84005071.0,"Johnson, Arkansas, US",0.0,0.0
0.0,0.0,84005073.0,"Lafayette, Arkansas, US",1.0,1.0
0.0,0.0,84005075.0,"Lawrence, Arkansas, US",5.0,6.0
0.0,0.0,84005077.0,"Lee, Arkansas, US",1.0,1.0
1.0,1.0,84005079.0,"Lincoln, Arkansas, US",9.0,10.0
0.0,0.0,84005081.0,"Little River, Arkansas, US",0.0,0.0
0.0,0.0,84005083.0,"Logan, Arkansas, US",0.0,0.0
0.0,0.0,84005085.0,"Lonoke, Arkansas, US",0.0,0.0
0.0,0.0,84005087.0,"Madison, Arkansas, US",0.0,0.0
0.0,0.0,84005089.0,"Marion, Arkansas, US",0.0,0.0
0.0,0.0,84005091.0,"Miller, Arkansas, US",1.0,1.0
0.0,0.0,84005093.0,"Mississippi, Arkansas, US",2.0,2.0
0.0,0.0,84005095.0,"Monroe, Arkansas, US",0.0,0.0
0.0,0.0,84005097.0,"Montgomery, Arkansas, US",0.0,0.0
0.0,0.0,84005099.0,"Nevada, Arkansas, US",0.0,0.0
0.0,0.0,84005101.0,"Newton, Arkansas, US",0.0,0.0
0.0,0.0,84005103.0,"Ouachita, Arkansas, US",0.0,0.0
0.0,0.0,84005105.0,"Perry, Arkansas, US",0.0,0.0
0.0,0.0,84005107.0,"Phillips, Arkansas, US",1.0,1.0
0.0,0.0,84005109.0,"Pike, Arkansas, US",0.0,0.0
0.0,0.0,84005111.0,"Poinsett, Arkansas, US",2.0,2.0
0.0,0.0,84005113.0,"Polk, Arkansas, US",0.0,1.0
0.0,0.0,84005115.0,"Pope, Arkansas, US",1.0,1.0
0.0,0.0,84005117.0,"Prairie, Arkansas, US",0.0,0.0
6.0,6.0,84005119.0,"Pulaski, Arkansas, US",35.0,35.0
0.0,0.0,84005121.0,"Randolph, Arkansas, US",0.0,0.0
0.0,0.0,84005123.0,"St. Francis, Arkansas, US",1.0,1.0
0.0,0.0,84005125.0,"Saline, Arkansas, US",1.0,1.0
0.0,0.0,84005127.0,"Scott, Arkansas, US",0.0,0.0
0.0,0.0,84005129.0,"Searcy, Arkansas, US",0.0,0.0
0.0,0.0,84005131.0,"Sebastian, Arkansas, US",0.0,1.0
0.0,0.0,84005133.0,"Sevier, Arkansas, US",2.0,2.0
0.0,0.0,84005135.0,"Sharp, Arkansas, US",2.0,2.0
0.0,0.0,84005137.0,"Stone, Arkansas, US",0.0,0.0
1.0,1.0,84005139.0,"Union, Arkansas, US",9.0,10.0
0.0,0.0,84005141.0,"Van Buren, Arkansas, US",2.0,2.0
1.0,1.0,84005143.0,"Washington, Arkansas, US",7.0,7.0
0.0,0.0,84005145.0,"White, Arkansas, US",1.0,1.0
0.0,0.0,84005147.0,"Woodruff, Arkansas, US",0.0,0.0
0.0,0.0,84005149.0,"Yell, Arkansas, US",1.0,1.0
17.0,17.0,84006001.0,"Alameda, California, US",97.0,97.0
0.0,0.0,84006003.0,"Alpine, California, US",0.0,0.0
0.0,0.0,84006005.0,"Amador, California, US",0.0,0.0
0.0,0.0,84006007.0,"Butte, California, US",1.0,1.0
0.0,0.0,84006009.0,"Calaveras, California, US",0.0,0.0
0.0,0.0,84006011.0,"Colusa, California, US",0.0,0.0
7.0,6.0,84006013.0,"Contra Costa, California, US",37.0,38.0
0.0,0.0,84006015.0,"Del Norte, California, US",0.0,0.0
0.0,0.0,84006017.0,"El Dorado, California, US",0.0,0.0
6.0,6.0,84006019.0,"Fresno, California, US",36.0,37.0
0.0,0.0,84006021.0,"Glenn, California, US",0.0,0.0
0.0,0.0,84006023.0,"Humboldt, California, US",3.0,4.0
5.0,5.0,84006025.0,"Imperial, California, US",29.0,29.0
0.0,0.0,84006027.0,"Inyo, California, US",1.0,1.0
7.0,7.0,84006029.0,"Kern, California, US",39.0,40.0
0.0,0.0,84006031.0,"Kings, California, US",5.0,6.0
0.0,0.0,84006033.0,"Lake, California, US",0.0,0.0
0.0,0.0,84006035.0,"Lassen, California, US",0.0,0.0
441.0,438.0,84006037.0,"Los Angeles, California, US",2448.0,2489.0
0.0,0.0,84006039.0,"Madera, California, US",3.0,3.0
2.0,2.0,84006041.0,"Marin, California, US",15.0,17.0
0.0,0.0,84006043.0,"Mariposa, California, US",1.0,1.0
0.0,0.0,84006045.0,"Mendocino, California, US",0.0,0.0
1.0,1.0,84006047.0,"Merced, California, US",7.0,7.0
0.0,0.0,84006049.0,"Modoc, California, US",0.0,0.0
0.0,0.0,84006051.0,"Mono, California, US",1.0,1.0
