UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84002275,Wrangell,Alaska,US,"Wrangell, Alaska, US",0,0,0,0,0,0
84002282,Yakutat,Alaska,US,"Yakutat, Alaska, US",0,0,0,0,0,0
84002290,Yukon-Koyukuk,Alaska,US,"Yukon-Koyukuk, Alaska, US",0,0,0,0,0,0
84004001,Apache,Arizona,US,"Apache, Arizona, US",35,39,41,45,45,46
84004003,Cochise,Arizona,US,"Cochise, Arizona, US",3,3,4,5,5,5
84004005,Coconino,Arizona,US,"Coconino, Arizona, US",81,81,81,85,85,85
84004007,Gila,Arizona,US,"Gila, Arizona, US",1,1,1,1,1,3
84004009,Graham,Arizona,US,"Graham, Arizona, US",1,1,1,1,1,1
84004011,Greenlee,Arizona,US,"Greenlee, Arizona, US",0,0,0,0,0,0
84004012,La Paz,Arizona,US,"La Paz, Arizona, US",1,1,1,1,1,1
84004013,Maricopa,Arizona,US,"Maricopa, Arizona, US",432,433,448,466,471,479
84004015,Mohave,Arizona,US,"Mohave, Arizona, US",44,45,46,47,49,50
84004017,Navajo,Arizona,US,"Navajo, Arizona, US",60,64,64,67,67,68
84004019,Pima,Arizona,US,"Pima, Arizona, US",185,185,191,196,202,202
84004021,Pinal,Arizona,US,"Pinal, Arizona, US",39,40,39,39,40,41
84004023,Santa Cruz,Arizona,US,"Santa Cruz, Arizona, US",0,0,0,0,0,1
84004025,Yavapai,Arizona,US,"Yavapai, Arizona, US",6,6,6,6,6,6
84004027,Yuma,Arizona,US,"Yuma, Arizona, US",16,16,17,21,23,25
84005001,Arkansas,Arkansas,US,"Arkansas, Arkansas, US",0,0,0,0,0,0
84005003,Ashley,Arkansas,US,"Ashley, Arkansas, US",0,0,0,0,0,0
84005005,Baxter,Arkansas,US,"Baxter, Arkansas, US",0,0,0,0,0,0
84005007,Benton,Arkansas,US,"Benton, Arkansas, US",2,2,2,3,3,3
84005009,Boone,Arkansas,US,"Boone, Arkansas, US",0,0,0,0,0,0
84005011,Bradley,Arkansas,US,"Bradley, Arkansas, US",1,1,1,1,1,1
84005013,Calhoun,Arkansas,US,"Calhoun, Arkansas, US",0,0,0,0,0,0
84005015,Carroll,Arkansas,US,"Carroll, Arkansas, US",1,1,1,1,1,1
84005017,Chicot,Arkansas,US,"Chicot, Arkansas, US",0,0,0,0,0,0
84005019,Clark,Arkansas,US,"Clark, Arkansas, US",0,0,0,0,0,0
84005021,Clay,Arkansas,US,"Clay, Arkansas, US",0,0,0,0,0,0
84005023,Cleburne,Arkansas,US,"Cleburne, Arkansas, US",4,4,4,4,4,4
84005025,Cleveland,Arkansas,US,"Cleveland, Arkansas, US",0,0,0,0,0,0
84005027,Columbia,Arkansas,US,"Columbia, Arkansas, US",2,2,2,2,2,2
84005029,Conway,Arkansas,US,"Conway, Arkansas, US",1,1,1,1,1,1
84005031,Craighead,Arkansas,US,"Craighead, Arkansas, US",0,0,0,0,0,0
84005033,Crawford,Arkansas,US,"Crawford, Arkansas, US",0,0,0,0,0,0
84005035,Crittenden,Arkansas,US,"Crittenden, Arkansas, US",9,9,9,9,9,9
84005037,Cross,Arkansas,US,"Cross, Arkansas, US",0,0,0,0,0,0
84005039,Dallas,Arkansas,US,"Dallas, Arkansas, US",0,0,0,0,0,0
84005041,Desha,Arkansas,US,"Desha, Arkansas, US",0,0,0,0,0,0
84005043,Drew,Arkansas,US,"Drew, Arkansas, US",1,1,1,1,1,1
84005045,Faulkner,Arkansas,US,"Faulkner, Arkansas, US",3,3,3,3,3,3
84005047,Franklin,Arkansas,US,"Franklin, Arkansas, US",0,0,0,0,0,0
84005049,Fulton,Arkansas,US,"Fulton, Arkansas, US",0,0,0,0,0,0
84005051,Garland,Arkansas,US,"Garland, Arkansas, US",1,1,1,1,1,1
84005053,Grant,Arkansas,US,"Grant, Arkansas, US",0,0,0,0,0,0
84005055,Greene,Arkansas,US,"Greene, Arkansas, US",0,0,0,0,0,0
84005057,Hempstead,Arkansas,US,"Hempstead, Arkansas, US",1,1,1,1,1,1
84005059,Hot Spring,Arkansas,US,"Hot Spring, Arkansas, US",0,0,0,0,0,0
84005061,Howard,Arkansas,US,"Howard, Arkansas, US",0,0,0,0,0,0
84005063,Independence,Arkansas,US,"Independence, Arkansas, US",0,0,0,0,0,0
84005065,Izard,Arkansas,US,"Izard, Arkansas, US",0,0,1,1,1,1
84005067,Jackson,Arkansas,US,"Jackson, Arkansas, US",0,0,0,0,0,0
84005069,Jefferson,Arkansas,US,"Jefferson, Arkansas, US",25,25,25,25,25,25
84005071,Johnson,Arkansas,US,"Johnson, Arkansas, US",0,0,0,0,0,0
84005073,Lafayette,Arkansas,US,"Lafayette, Arkansas, US",1,1,1,1,1,1
84005075,Lawrence,Arkansas,US,"Lawrence, Arkansas, US",5,5,5,6,9,9
84005077,Lee,Arkansas,US,"Lee, Arkansas, US",1,1,1,1,1,1
84005079,Lincoln,Arkansas,US,"Lincoln, Arkansas, US",9,9,9,10,10,11
84005081,Little River,Arkansas,US,"Little River, Arkansas, US",0,0,0,0,0,0
84005083,Logan,Arkansas,US,"Logan, Arkansas, US",0,0,0,0,0,0
84005085,Lonoke,Arkansas,US,"Lonoke, Arkansas, US",0,0,0,0,0,0
84005087,Madison,Arkansas,US,"Madison, Arkansas, US",0,0,0,0,0,0
84005089,Marion,Arkansas,US,"Marion, Arkansas, US",0,0,0,0,0,0
84005091,Miller,Arkansas,US,"Miller, Arkansas, US",1,1,1,1,1,1
84005093,Mississippi,Arkansas,US,"Mississippi, Arkansas, US",2,2,2,2,2,2
84005095,Monroe,Arkansas,US,"Monroe, Arkansas, US",0,0,0,0,0,0
84005097,Montgomery,Arkansas,US,"Montgomery, Arkansas, US",0,0,0,0,0,0
84005099,Nevada,Arkansas,US,"Nevada, Arkansas, US",0,0,0,0,0,0
84005101,Newton,Arkansas,US,"Newton, Arkansas, US",0,0,0,0,0,0
84005103,Ouachita,Arkansas,US,"Ouachita, Arkansas, US",0,0,0,0,0,0
84005105,Perry,Arkansas,US,"Perry, Arkansas, US",0,0,0,0,0,0
84005107,Phillips,Arkansas,US,"Phillips, Arkansas, US",1,1,1,1,1,1
84005109,Pike,Arkansas,US,"Pike, Arkansas, US",0,0,0,0,0,0
84005111,Poinsett,Arkansas,US,"Poinsett, Arkansas, US",2,2,2,2,2,2
84005113,Polk,Arkansas,US,"Polk, Arkansas, US",0,0,0,1,0,0
84005115,Pope,Arkansas,US,"Pope, Arkansas, US",1,1,1,1,2,2
84005117,Prairie,Arkansas,US,"Prairie, Arkansas, US",0,0,0,0,0,0
