Country,City,State,Predicted,Actual,Diff,Diff_Percent
US,Campbell,Tennessee,0.460056594,0,0.460056594,0
US,Cannon,Tennessee,0.460075977,0,0.460075977,0
US,Carroll,Tennessee,0.460078385,0,0.460078385,0
US,Carter,Tennessee,0.460076516,0,0.460076516,0
US,Cheatham,Tennessee,0.460058743,0,0.460058743,0
US,Chester,Tennessee,0.460052866,0,0.460052866,0
US,Claiborne,Tennessee,0.460075713,0,0.460075713,0
US,Clay,Tennessee,0.46006232,0,0.46006232,0
US,Cocke,Tennessee,0.460066148,0,0.460066148,0
US,Coffee,Tennessee,0.460067308,0,0.460067308,0
US,Crockett,Tennessee,0.460067562,0,0.460067562,0
US,Cumberland,Tennessee,0.460053239,0,0.460053239,0
US,Davidson,Tennessee,11.76652477,11,0.766524768,-0.06968407
US,Decatur,Tennessee,0.460050895,0,0.460050895,0
US,DeKalb,Tennessee,0.46006436,0,0.46006436,0
US,Dickson,Tennessee,0.460064461,0,0.460064461,0
US,Dyer,Tennessee,0.460064341,0,0.460064341,0
US,Fayette,Tennessee,0.460063434,0,0.460063434,0
US,Fentress,Tennessee,0.46006254,0,0.46006254,0
US,Franklin,Tennessee,0.460065385,0,0.460065385,0
US,Gibson,Tennessee,0.460064997,0,0.460064997,0
US,Giles,Tennessee,0.460063785,0,0.460063785,0
US,Grainger,Tennessee,0.46007637,0,0.46007637,0
US,Greene,Tennessee,0.460062582,0,0.460062582,0
US,Grundy,Tennessee,0.460057828,0,0.460057828,0
US,Hamblen,Tennessee,0.460073694,0,0.460073694,0
US,Hamilton,Tennessee,2.812103006,2,0.812103006,-0.406051503
US,Hancock,Tennessee,0.460064811,0,0.460064811,0
US,Hardeman,Tennessee,0.460066061,0,0.460066061,0
US,Hardin,Tennessee,0.460060359,0,0.460060359,0
US,Hawkins,Tennessee,0.46006863,0,0.46006863,0
US,Haywood,Tennessee,0.460071714,0,0.460071714,0
US,Henderson,Tennessee,0.460061843,0,0.460061843,0
US,Henry,Tennessee,0.460075102,0,0.460075102,0
